supplier,amount,department,account,cost_center,project_id,personnel,reference,tax_persentage,city,created_at,Test_category
supplier3,581286,department3,2,CC7,P10,EMP9,REF7,20,Skovde,2015/06/20 11:23:47,Test_category4
supplier8,611692,department3,1,CC2,P9,EMP7,REF10,20,Sundsvall,2021/10/06 17:33:46,Test_category6
supplier3,338869,department3,10,CC2,P0,EMP8,REF2,10,Skovde,2023/12/17 11:25:45,Test_category1
supplier7,531219,department6,8,CC6,P4,EMP0,REF0,10,Lindkoping,2017/05/24 13:48:29,Test_category9
supplier2,621618,department10,0,CC9,P6,EMP3,REF5,10,Norrkoping,2023/03/27 09:57:15,Test_category10
supplier8,60687,department8,8,CC2,P8,EMP4,REF6,10,Lindkoping,2018/08/05 08:48:37,Test_category6
supplier0,494975,department1,4,CC8,P10,EMP3,REF1,10,Lulea,2024/09/20 08:59:43,Test_category4
supplier5,497633,department4,4,CC9,P2,EMP3,REF10,20,Malmo,2023/03/15 12:03:56,Test_category0
supplier3,352281,department6,4,CC1,P7,EMP1,REF7,10,Skovde,2016/03/01 10:35:39,Test_category0
supplier10,757004,department7,8,CC9,P8,EMP6,REF6,25,Norrkoping,2018/02/11 10:49:49,Test_category1
supplier5,553090,department10,0,CC9,P9,EMP6,REF5,20,Malmo,2022/04/29 12:41:07,Test_category4
supplier3,70075,department5,3,CC9,P1,EMP1,REF9,25,Skovde,2023/08/18 11:17:49,Test_category9
supplier8,964462,department2,3,CC0,P4,EMP0,REF10,10,Lulea,2015/10/01 16:44:00,Test_category5
supplier8,366380,department7,7,CC0,P8,EMP6,REF7,25,Skovde,2018/02/09 17:16:09,Test_category7
supplier10,884645,department3,10,CC0,P1,EMP2,REF9,25,Uppsala,2017/12/09 09:31:27,Test_category2
supplier10,619396,department6,3,CC6,P2,EMP1,REF8,10,Norrkoping,2016/05/02 14:59:07,Test_category10
supplier3,828125,department5,6,CC7,P8,EMP2,REF7,10,Skovde,2024/01/18 15:13:06,Test_category1
supplier10,828734,department8,2,CC3,P7,EMP1,REF5,10,Sundsvall,2019/11/10 10:52:48,Test_category6
supplier10,536756,department0,5,CC6,P3,EMP10,REF2,20,Norrkoping,2023/08/05 17:27:02,Test_category2
supplier7,696569,department9,5,CC8,P6,EMP9,REF0,25,Lulea,2019/04/20 10:32:33,Test_category0
supplier1,510994,department10,0,CC6,P0,EMP10,REF1,10,Sundsvall,2020/05/07 16:06:21,Test_category6
supplier10,675887,department2,9,CC10,P5,EMP9,REF2,0,Sundsvall,2020/11/07 10:14:03,Test_category4
supplier2,414582,department1,4,CC8,P1,EMP10,REF0,0,Norrkoping,2024/06/16 17:49:08,Test_category4
supplier9,343007,department1,4,CC2,P10,EMP7,REF3,0,Gothenburg,2020/08/24 10:21:40,Test_category7
supplier10,613820,department2,9,CC7,P7,EMP0,REF3,20,Skovde,2018/11/06 16:59:17,Test_category9
supplier9,429832,department2,10,CC1,P7,EMP1,REF6,25,Lulea,2021/11/20 15:44:28,Test_category10
supplier5,200503,department2,6,CC6,P3,EMP3,REF5,25,Norrkoping,2021/02/09 12:47:14,Test_category6
supplier4,90384,department6,9,CC5,P10,EMP2,REF4,20,Lulea,2019/08/28 08:09:06,Test_category1
supplier5,742026,department9,10,CC8,P0,EMP10,REF6,25,Gothenburg,2017/04/03 11:06:17,Test_category4
supplier7,686465,department8,2,CC3,P3,EMP9,REF3,10,Skovde,2017/07/05 09:05:01,Test_category3
supplier2,648301,department1,6,CC6,P6,EMP5,REF10,10,Stockholm,2024/01/04 11:45:43,Test_category6
supplier8,682347,department8,2,CC9,P2,EMP2,REF7,10,Malmo,2023/06/21 12:54:17,Test_category5
supplier8,434895,department9,0,CC0,P3,EMP2,REF1,10,Sundsvall,2025/01/20 16:40:35,Test_category7
supplier7,259709,department2,9,CC5,P6,EMP7,REF4,20,Uppsala,2019/05/25 09:39:13,Test_category1
supplier1,364860,department4,9,CC8,P0,EMP1,REF9,25,Uppsala,2019/04/02 11:22:48,Test_category3
supplier3,373255,department10,10,CC10,P2,EMP0,REF1,25,Lindkoping,2017/11/24 11:03:00,Test_category6
supplier6,14401,department10,10,CC1,P2,EMP7,REF9,0,Lindkoping,2016/04/18 16:50:25,Test_category4
supplier9,830390,department10,10,CC1,P6,EMP2,REF6,10,Vaxjo,2022/02/22 17:47:33,Test_category10
supplier6,397728,department3,9,CC4,P0,EMP4,REF1,25,Uppsala,2021/08/17 16:11:25,Test_category8
supplier2,242290,department9,1,CC4,P6,EMP1,REF0,20,Stockholm,2015/02/18 16:58:12,Test_category10
supplier6,994405,department7,8,CC7,P4,EMP9,REF5,25,Uppsala,2025/01/18 14:52:56,Test_category4
supplier8,642274,department8,4,CC3,P3,EMP6,REF3,25,Uppsala,2024/03/29 12:03:57,Test_category9
supplier9,282280,department0,8,CC2,P7,EMP3,REF1,20,Uppsala,2024/07/10 08:13:27,Test_category0
supplier5,943870,department1,10,CC0,P0,EMP9,REF8,20,Skovde,2022/10/09 17:37:59,Test_category2
supplier4,71627,department5,9,CC3,P1,EMP8,REF7,20,Lulea,2023/03/12 09:57:15,Test_category8
supplier3,802983,department2,6,CC0,P5,EMP6,REF4,0,Malmo,2018/09/03 16:07:37,Test_category4
supplier3,141230,department8,5,CC7,P1,EMP6,REF10,10,Skovde,2017/06/28 08:43:24,Test_category0
supplier0,966240,department5,3,CC8,P8,EMP2,REF3,0,Skovde,2015/01/08 16:50:13,Test_category3
supplier7,746534,department9,5,CC8,P1,EMP9,REF9,0,Uppsala,2015/10/01 10:58:55,Test_category5
supplier10,305644,department0,3,CC8,P6,EMP0,REF0,0,Lulea,2020/10/13 13:19:09,Test_category9
supplier5,827388,department6,10,CC10,P6,EMP10,REF6,20,Vaxjo,2024/11/27 12:02:47,Test_category7
supplier4,276992,department7,0,CC3,P4,EMP6,REF3,0,Uppsala,2017/01/01 13:25:06,Test_category1
supplier8,289457,department2,1,CC5,P4,EMP3,REF10,10,Gothenburg,2020/09/22 11:44:34,Test_category0
supplier8,866116,department1,5,CC8,P9,EMP2,REF10,0,Sundsvall,2021/05/22 11:54:21,Test_category5
supplier9,797168,department6,7,CC8,P3,EMP8,REF0,10,Lindkoping,2023/11/29 12:28:51,Test_category8
supplier6,877325,department4,2,CC1,P2,EMP3,REF2,25,Lulea,2023/05/30 11:08:46,Test_category4
supplier6,107208,department5,0,CC4,P3,EMP2,REF7,10,Gothenburg,2020/03/09 16:23:21,Test_category5
supplier5,392279,department4,6,CC4,P1,EMP10,REF9,0,Skovde,2019/10/27 12:39:13,Test_category9
supplier5,772083,department3,8,CC9,P9,EMP7,REF6,10,Stockholm,2018/08/16 12:43:37,Test_category6
supplier9,988845,department1,10,CC0,P4,EMP10,REF2,25,Uppsala,2015/06/21 15:06:51,Test_category4
supplier7,536379,department10,4,CC6,P1,EMP3,REF8,0,Skovde,2016/05/06 16:32:41,Test_category0
